name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,43703,4.56s,54.09us,407.00ns,54.17us,679.00ns,52.05us,69.42us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,23952,17141,4.56s,174.33us,843.00ns,174.77us,2.90us,170.24us,460.55us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,23952,16184,4.51s,185.78us,0.97us,185.35us,1.83us,177.05us,239.88us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,23952,16215,4.51s,185.04us,635.00ns,184.99us,1.06us,182.03us,212.29us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,43276,4.56s,66.80us,458.00ns,66.90us,1.83us,64.32us,379.54us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,120093,4.56s,17.32us,350.00ns,17.36us,552.00ns,15.57us,38.51us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,118489,4.56s,17.57us,333.00ns,17.60us,525.00ns,15.76us,30.09us
curated/12-dictionary/single,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,61436,10,4.91s,314.15ms,32.99us,314.18ms,78.42us,314.09ms,314.37ms
curated/12-dictionary/single,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,61436,40107,4.56s,74.67us,77.00ns,74.78us,477.00ns,74.24us,96.54us
curated/12-dictionary/single,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,61436,40321,4.56s,74.20us,104.00ns,74.38us,488.00ns,73.93us,97.62us
curated/12-dictionary/multi,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,61436,10587,4.61s,283.53us,2.33us,283.35us,4.12us,268.20us,311.19us
curated/12-dictionary/multi,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,61436,10213,4.91s,293.92us,2.46us,293.73us,3.97us,278.87us,321.95us
curated/12-dictionary/compile-single,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,132,4.56s,22.65ms,355.51us,22.81ms,523.13us,22.12ms,24.13ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,436,4.51s,6.79ms,20.00us,6.79ms,31.80us,6.67ms,6.90ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,434,4.51s,6.80ms,18.87us,6.80ms,30.95us,6.71ms,6.90ms
curated/12-dictionary/compile-multi,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,4,5.81s,13.34ms,186.21us,13.36ms,215.51us,13.14ms,13.63ms
curated/12-dictionary/compile-multi,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,2,5.76s,12.29ms,270.19us,12.29ms,270.19us,12.02ms,12.56ms
curated/13-noseyparker/single,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,14,4.76s,223.44ms,3.47ms,222.46ms,4.24ms,216.02ms,227.14ms
curated/13-noseyparker/single,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,14,4.81s,227.21ms,3.29ms,226.12ms,4.25ms,219.77ms,230.68ms
curated/13-noseyparker/multi,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,11,4.71s,277.19ms,258.32us,273.79ms,5.66ms,264.37ms,277.62ms
curated/13-noseyparker/multi,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,11,4.76s,278.50ms,303.37us,275.22ms,5.69ms,265.83ms,279.24ms
curated/13-noseyparker/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,265,4.56s,2.02ms,27.02us,2.02ms,38.02us,1.96ms,2.16ms
curated/13-noseyparker/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,142,4.56s,2.04ms,16.16us,2.04ms,24.96us,2.00ms,2.14ms
curated/13-noseyparker/compile-multi,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,143,4.56s,2.36ms,15.17us,2.37ms,27.56us,2.32ms,2.48ms
curated/13-noseyparker/compile-multi,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,76,4.56s,2.39ms,12.80us,2.39ms,21.45us,2.34ms,2.46ms
curated/14-quadratic/1x,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,100,114805,4.56s,25.81us,117.00ns,25.91us,2.52us,25.19us,783.83us
curated/14-quadratic/1x,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,100,624282,4.73s,4.76us,20.00ns,4.78us,96.00ns,4.69us,26.01us
curated/14-quadratic/1x,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,100,618931,4.73s,4.81us,9.00ns,4.82us,94.00ns,4.75us,28.93us
